Run,Layer-Config,Batch-Size,n-Epochs,Test Accuracy,Test Loss,Sensitivity,Specificity
1,GRU(240) -> GRU(120),32,7,0.9301533102989197,0.1798505187034607,0.9369158878504673,0.9119496855345912
2,GRU(240) -> GRU(120),32,7,0.9148211479187012,0.21180272102355957,0.9158878504672897,0.9119496855345912
3,GRU(240) -> GRU(120),32,7,0.9284497499465942,0.18695852160453796,0.9462616822429907,0.8805031446540881
4,GRU(240) -> GRU(120),32,7,0.9250425696372986,0.18632197380065918,0.9462616822429907,0.8679245283018868
5,GRU(240) -> GRU(120),32,7,0.9011924862861633,0.2290397584438324,0.9252336448598131,0.8364779874213837
6,GRU(240) -> GRU(120),32,7,0.9250425696372986,0.1799696385860443,0.9322429906542056,0.9056603773584906
7,GRU(240) -> GRU(120),32,7,0.9165247082710266,0.19734613597393036,0.9299065420560748,0.8805031446540881
8,GRU(240) -> GRU(120),32,7,0.9233390092849731,0.18416982889175415,0.9228971962616822,0.9245283018867925
9,GRU(240) -> GRU(120),32,7,0.9199318289756775,0.19093067944049835,0.927570093457944,0.89937106918239
10,GRU(240) -> GRU(120),32,7,0.9028961062431335,0.21473683416843414,0.8878504672897196,0.9433962264150944
