n_hidden,layer_size,eta,activation,n_epochs,optimizer,train_acc,val_acc,test_acc,train_acc_std,val_acc_std,test_acc_std
1,500,0.1,sigmoid,100,train_network_SRMSprop,0.7870666666666667,0.7168,0.7087999999999999,0.3456441587014663,0.3138970531878246,0.3095961240067453
1,500,0.1,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09,0.0,0.0,0.0
1,500,0.1,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09,0.0,0.0,0.0
1,500,0.01,sigmoid,100,train_network_SRMSprop,0.9968,0.9151999999999999,0.8974,0.0011469767022723686,0.012039933554633916,0.012963024338479054
1,500,0.01,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09,0.0,0.0,0.0
1,500,0.01,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09,0.0,0.0,0.0
1,500,0.001,sigmoid,100,train_network_SRMSprop,1.0,0.7778,0.7813999999999999,0.0,0.02048316381812145,0.01918436863699196
1,500,0.001,ReLU,100,train_network_SRMSprop,0.18633333333333332,0.16160000000000002,0.16020000000000004,0.271,0.21480000000000002,0.21060000000000004
1,500,0.001,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09,0.0,0.0,0.0
1,500,0.0001,sigmoid,100,train_network_SRMSprop,0.9168666666666668,0.6020000000000001,0.6536000000000002,0.003155946767611906,0.010620734437881413,0.007031358332498784
1,500,0.0001,ReLU,100,train_network_SRMSprop,0.3251333333333334,0.2592,0.27259999999999995,0.3500095300289852,0.258468102480751,0.27892945344656594
1,500,0.0001,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09,0.0,0.0,0.0
