n_hidden,layer_size,eta,activation,n_epochs,optimizer,train_acc,val_acc,test_acc
0,25,1.0,sigmoid,100,train_network_SRMSprop,0.096,0.09,0.09
0,25,1.0,sigmoid,100,train_network_stocastic_ADAM,0.096,0.09,0.09
0,25,1.0,sigmoid,100,train_network_stocastic_momentum,0.096,0.09,0.09
0,25,1.0,sigmoid,100,train_network_momentum,0.096,0.09,0.09
0,25,1.0,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
0,25,1.0,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
0,25,1.0,ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
0,25,1.0,ReLU,100,train_network_momentum,0.096,0.09,0.09
0,25,1.0,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
0,25,1.0,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
0,25,1.0,leaky_ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
0,25,1.0,leaky_ReLU,100,train_network_momentum,0.096,0.09,0.09
0,25,0.1,sigmoid,100,train_network_SRMSprop,0.9733333333333334,0.81,0.806
0,25,0.1,sigmoid,100,train_network_stocastic_ADAM,0.9753333333333334,0.81,0.856
0,25,0.1,sigmoid,100,train_network_stocastic_momentum,0.096,0.09,0.09
0,25,0.1,sigmoid,100,train_network_momentum,0.096,0.09,0.09
0,25,0.1,ReLU,100,train_network_SRMSprop,0.9813333333333333,0.814,0.828
0,25,0.1,ReLU,100,train_network_stocastic_ADAM,0.9673333333333334,0.828,0.802
0,25,0.1,ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
0,25,0.1,ReLU,100,train_network_momentum,0.096,0.09,0.09
0,25,0.1,leaky_ReLU,100,train_network_SRMSprop,0.9666666666666667,0.81,0.806
0,25,0.1,leaky_ReLU,100,train_network_stocastic_ADAM,0.9773333333333334,0.82,0.828
0,25,0.1,leaky_ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
0,25,0.1,leaky_ReLU,100,train_network_momentum,0.096,0.09,0.09
0,25,0.01,sigmoid,100,train_network_SRMSprop,0.9973333333333333,0.812,0.834
0,25,0.01,sigmoid,100,train_network_stocastic_ADAM,0.9893333333333333,0.834,0.838
