n_hidden,layer_size,eta,activation,n_epochs,optimizer,train_acc,val_acc,test_acc
0,25,0.1,sigmoid,100,train_network_SRMSprop,0.984,0.836,0.85
0,25,0.1,sigmoid,100,train_network_stocastic_ADAM,0.096,0.09,0.09
0,25,0.1,ReLU,100,train_network_SRMSprop,0.9786666666666667,0.82,0.842
0,25,0.1,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
0,25,0.1,leaky_ReLU,100,train_network_SRMSprop,0.9786666666666667,0.788,0.826
0,25,0.1,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
0,25,0.1,softmax,100,train_network_SRMSprop,0.9793333333333333,0.792,0.818
0,25,0.1,softmax,100,train_network_stocastic_ADAM,0.9766666666666667,0.824,0.82
0,25,0.01,sigmoid,100,train_network_SRMSprop,0.996,0.834,0.836
0,25,0.01,sigmoid,100,train_network_stocastic_ADAM,0.9946666666666667,0.816,0.856
0,25,0.01,ReLU,100,train_network_SRMSprop,0.9946666666666667,0.856,0.848
0,25,0.01,ReLU,100,train_network_stocastic_ADAM,0.996,0.808,0.836
0,25,0.01,leaky_ReLU,100,train_network_SRMSprop,0.9973333333333333,0.818,0.856
0,25,0.01,leaky_ReLU,100,train_network_stocastic_ADAM,0.9966666666666667,0.85,0.788
0,25,0.01,softmax,100,train_network_SRMSprop,0.996,0.84,0.846
0,25,0.01,softmax,100,train_network_stocastic_ADAM,0.996,0.858,0.834
0,250,0.1,sigmoid,100,train_network_SRMSprop,0.9733333333333334,0.836,0.778
0,250,0.1,sigmoid,100,train_network_stocastic_ADAM,0.096,0.09,0.09
0,250,0.1,ReLU,100,train_network_SRMSprop,0.9793333333333333,0.822,0.794
0,250,0.1,ReLU,100,train_network_stocastic_ADAM,0.98,0.836,0.826
0,250,0.1,leaky_ReLU,100,train_network_SRMSprop,0.9846666666666667,0.832,0.822
0,250,0.1,leaky_ReLU,100,train_network_stocastic_ADAM,0.9746666666666667,0.868,0.856
0,250,0.1,softmax,100,train_network_SRMSprop,0.9893333333333333,0.818,0.836
