n_hidden,layer_size,eta,activation,n_epochs,optimizer,train_acc,val_acc,test_acc,train_acc_std,val_acc_std,test_acc_std
0,25,0.01,sigmoid,100,train_network_SRMSprop,0.9952666666666665,0.8394,0.8341999999999998,0.0022400396821882205,0.02029876843554799,0.00914111590562116
0,100,0.01,sigmoid,100,train_network_SRMSprop,0.9960000000000001,0.8436,0.8389999999999999,0.0017384539747207022,0.013646977687385597,0.01714059508885265
0,250,0.01,sigmoid,100,train_network_SRMSprop,0.9972,0.8496,0.8333999999999999,0.0016000000000000061,0.018607525359380827,0.020785571919001888
0,500,0.01,sigmoid,100,train_network_SRMSprop,0.9960666666666667,0.8423999999999999,0.8388,0.0020537229067665893,0.01182539639927557,0.012749901960407393
0,750,0.01,sigmoid,100,train_network_SRMSprop,0.9963333333333333,0.833,0.8433999999999999,0.0024810392087904537,0.019904773296875275,0.0207663188841932
0,1000,0.01,sigmoid,100,train_network_SRMSprop,0.9954000000000001,0.8390000000000001,0.8402000000000001,0.0016983652270475982,0.012529964086141654,0.01896206739783401
1,25,0.01,sigmoid,100,train_network_SRMSprop,0.9984,0.8734,0.8597999999999999,0.001041366623454214,0.012200000000000011,0.009442457307290309
1,100,0.01,sigmoid,100,train_network_SRMSprop,0.9986666666666666,0.9017999999999999,0.8844000000000001,0.001333333333333342,0.0063529520697074415,0.004454211490264022
1,250,0.01,sigmoid,100,train_network_SRMSprop,0.9971333333333334,0.9006000000000001,0.8882000000000001,0.0019333333333333446,0.017065755183993486,0.013280060240827235
1,500,0.01,sigmoid,100,train_network_SRMSprop,0.9954666666666668,0.9096,0.8938,0.0019504985117770564,0.008236504112789608,0.012757742747053661
1,750,0.01,sigmoid,100,train_network_SRMSprop,0.9961333333333334,0.9112,0.9001999999999999,0.001484737163421343,0.005810335618533585,0.008874683092933523
1,1000,0.01,sigmoid,100,train_network_SRMSprop,0.9937333333333334,0.9168000000000001,0.908,0.0034279893685819763,0.010888526071052947,0.009959919678390996
2,25,0.01,sigmoid,100,train_network_SRMSprop,0.9986666666666666,0.8754000000000002,0.8635999999999999,0.0012292725943057034,0.01095627673984188,0.009243376006633082
2,100,0.01,sigmoid,100,train_network_SRMSprop,0.9972,0.9029999999999999,0.8894,0.0008326663997864539,0.006587867636800248,0.006873136110975839
2,250,0.01,sigmoid,100,train_network_SRMSprop,0.9901333333333333,0.9048,0.8892000000000001,0.002679966832298915,0.01230284519938377,0.013151425778218888
2,500,0.01,sigmoid,100,train_network_SRMSprop,0.9759333333333334,0.8914000000000002,0.8709999999999999,0.015294007541081784,0.016590358645912406,0.01640121946685674
2,750,0.01,sigmoid,100,train_network_SRMSprop,0.9700666666666666,0.8916000000000001,0.8699999999999999,0.016776835882317688,0.02181375712709759,0.021391587131393518
2,1000,0.01,sigmoid,100,train_network_SRMSprop,0.9724666666666668,0.8892,0.8714000000000001,0.007560423268574332,0.012464349160706318,0.020259318843435993
3,25,0.01,sigmoid,100,train_network_SRMSprop,0.9977333333333334,0.8699999999999999,0.8638000000000001,0.0017688665548562074,0.012425779653607265,0.010897706180660232
3,100,0.01,sigmoid,100,train_network_SRMSprop,0.9962,0.8996000000000001,0.8884000000000001,0.0024046251729161884,0.012986146464598353,0.0066813172353960325
3,250,0.01,sigmoid,100,train_network_SRMSprop,0.9875999999999999,0.9004,0.8831999999999999,0.007150446761489004,0.01525254077195011,0.017092688495377213
3,500,0.01,sigmoid,100,train_network_SRMSprop,0.9656666666666667,0.8800000000000001,0.8687999999999999,0.036668181786878334,0.0379262442116274,0.03414322773259728
3,750,0.01,sigmoid,100,train_network_SRMSprop,0.8796666666666667,0.8242,0.7886,0.10105850890559501,0.07644318151411543,0.08788196629570824
3,1000,0.01,sigmoid,100,train_network_SRMSprop,0.7904666666666667,0.7502000000000001,0.7217999999999999,0.08083951179136761,0.08369205458106523,0.07549013180542209
4,25,0.01,sigmoid,100,train_network_SRMSprop,0.998,0.8744,0.8565999999999999,0.0016865480854231301,0.01828223181124232,0.014671059948074657
4,100,0.01,sigmoid,100,train_network_SRMSprop,0.9939333333333333,0.8932,0.8857999999999999,0.004146752410689084,0.011600000000000011,0.009008884503644175
4,250,0.01,sigmoid,100,train_network_SRMSprop,0.9829333333333332,0.891,0.8700000000000001,0.010225023770686839,0.017395401691251644,0.02225308967312182
4,500,0.01,sigmoid,100,train_network_SRMSprop,0.9506000000000002,0.874,0.8532,0.05176223419529811,0.03223662513353406,0.04573138965743334
4,750,0.01,sigmoid,100,train_network_SRMSprop,0.40759999999999996,0.35320000000000007,0.35640000000000005,0.14834050918972425,0.1360711578549988,0.13744759001161133
4,1000,0.01,sigmoid,100,train_network_SRMSprop,0.10113333333333333,0.11440000000000002,0.10400000000000001,0.008406611154984577,0.022974768769239005,0.016272676485446395
