n_hidden,layer_size,eta,activation,n_epochs,optimizer,train_acc,val_acc,test_acc
0,25,0.1,sigmoid,100,train_network_SRMSprop,0.9786666666666667,0.83,0.816
0,25,0.1,sigmoid,100,train_network_stocastic_ADAM,0.97,0.842,0.834
0,25,0.1,ReLU,100,train_network_SRMSprop,0.976,0.828,0.8
0,25,0.1,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
0,25,0.1,leaky_ReLU,100,train_network_SRMSprop,0.986,0.78,0.834
0,25,0.1,leaky_ReLU,100,train_network_stocastic_ADAM,0.9746666666666667,0.83,0.842
0,25,0.1,softmax,100,train_network_SRMSprop,0.992,0.838,0.794
0,25,0.1,softmax,100,train_network_stocastic_ADAM,0.9846666666666667,0.844,0.84
0,25,0.01,sigmoid,100,train_network_SRMSprop,0.9973333333333333,0.832,0.834
0,25,0.01,sigmoid,100,train_network_stocastic_ADAM,0.9886666666666667,0.844,0.858
0,25,0.01,ReLU,100,train_network_SRMSprop,0.9986666666666667,0.822,0.83
0,25,0.01,ReLU,100,train_network_stocastic_ADAM,0.99,0.838,0.846
0,25,0.01,leaky_ReLU,100,train_network_SRMSprop,0.9966666666666667,0.864,0.846
0,25,0.01,leaky_ReLU,100,train_network_stocastic_ADAM,0.9953333333333333,0.844,0.798
0,25,0.01,softmax,100,train_network_SRMSprop,0.998,0.816,0.832
0,25,0.01,softmax,100,train_network_stocastic_ADAM,0.986,0.812,0.794
0,250,0.1,sigmoid,100,train_network_SRMSprop,0.9866666666666667,0.806,0.818
0,250,0.1,sigmoid,100,train_network_stocastic_ADAM,0.096,0.09,0.09
0,250,0.1,ReLU,100,train_network_SRMSprop,0.984,0.842,0.84
0,250,0.1,ReLU,100,train_network_stocastic_ADAM,0.9773333333333334,0.824,0.842
0,250,0.1,leaky_ReLU,100,train_network_SRMSprop,0.978,0.816,0.842
0,250,0.1,leaky_ReLU,100,train_network_stocastic_ADAM,0.9806666666666667,0.86,0.836
0,250,0.1,softmax,100,train_network_SRMSprop,0.9866666666666667,0.83,0.828
0,250,0.1,softmax,100,train_network_stocastic_ADAM,0.9773333333333334,0.83,0.812
0,250,0.01,sigmoid,100,train_network_SRMSprop,0.998,0.832,0.86
0,250,0.01,sigmoid,100,train_network_stocastic_ADAM,0.9933333333333333,0.866,0.872
0,250,0.01,ReLU,100,train_network_SRMSprop,0.9953333333333333,0.848,0.836
0,250,0.01,ReLU,100,train_network_stocastic_ADAM,0.992,0.822,0.824
0,250,0.01,leaky_ReLU,100,train_network_SRMSprop,0.9966666666666667,0.838,0.836
0,250,0.01,leaky_ReLU,100,train_network_stocastic_ADAM,0.9986666666666667,0.812,0.804
0,250,0.01,softmax,100,train_network_SRMSprop,0.9913333333333333,0.838,0.842
0,250,0.01,softmax,100,train_network_stocastic_ADAM,0.9933333333333333,0.848,0.856
0,1000,0.1,sigmoid,100,train_network_SRMSprop,0.9873333333333333,0.81,0.824
0,1000,0.1,sigmoid,100,train_network_stocastic_ADAM,0.9726666666666667,0.83,0.826
0,1000,0.1,ReLU,100,train_network_SRMSprop,0.984,0.804,0.818
0,1000,0.1,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
0,1000,0.1,leaky_ReLU,100,train_network_SRMSprop,0.9846666666666667,0.812,0.83
0,1000,0.1,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
0,1000,0.1,softmax,100,train_network_SRMSprop,0.9813333333333333,0.826,0.842
0,1000,0.1,softmax,100,train_network_stocastic_ADAM,0.9686666666666667,0.81,0.814
0,1000,0.01,sigmoid,100,train_network_SRMSprop,0.9986666666666667,0.848,0.844
0,1000,0.01,sigmoid,100,train_network_stocastic_ADAM,0.9946666666666667,0.866,0.812
0,1000,0.01,ReLU,100,train_network_SRMSprop,0.9946666666666667,0.774,0.844
0,1000,0.01,ReLU,100,train_network_stocastic_ADAM,0.994,0.808,0.796
0,1000,0.01,leaky_ReLU,100,train_network_SRMSprop,0.996,0.814,0.85
0,1000,0.01,leaky_ReLU,100,train_network_stocastic_ADAM,0.9966666666666667,0.822,0.81
0,1000,0.01,softmax,100,train_network_SRMSprop,0.9933333333333333,0.836,0.82
0,1000,0.01,softmax,100,train_network_stocastic_ADAM,0.992,0.83,0.81
1,25,0.1,sigmoid,100,train_network_SRMSprop,0.956,0.85,0.858
1,25,0.1,sigmoid,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,25,0.1,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
1,25,0.1,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,25,0.1,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
1,25,0.1,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,25,0.1,softmax,100,train_network_SRMSprop,0.812,0.75,0.758
1,25,0.1,softmax,100,train_network_stocastic_ADAM,0.716,0.684,0.702
1,25,0.01,sigmoid,100,train_network_SRMSprop,0.9993333333333333,0.878,0.844
1,25,0.01,sigmoid,100,train_network_stocastic_ADAM,0.9953333333333333,0.844,0.832
1,25,0.01,ReLU,100,train_network_SRMSprop,0.9786666666666667,0.808,0.828
1,25,0.01,ReLU,100,train_network_stocastic_ADAM,0.9773333333333334,0.814,0.828
1,25,0.01,leaky_ReLU,100,train_network_SRMSprop,0.986,0.83,0.854
1,25,0.01,leaky_ReLU,100,train_network_stocastic_ADAM,0.9726666666666667,0.806,0.822
1,25,0.01,softmax,100,train_network_SRMSprop,0.9033333333333333,0.772,0.724
1,25,0.01,softmax,100,train_network_stocastic_ADAM,0.8446666666666667,0.788,0.764
1,250,0.1,sigmoid,100,train_network_SRMSprop,0.9266666666666666,0.864,0.808
1,250,0.1,sigmoid,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,250,0.1,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
1,250,0.1,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,250,0.1,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
1,250,0.1,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,250,0.1,softmax,100,train_network_SRMSprop,0.4826666666666667,0.438,0.43
1,250,0.1,softmax,100,train_network_stocastic_ADAM,0.448,0.424,0.404
1,250,0.01,sigmoid,100,train_network_SRMSprop,0.9993333333333333,0.92,0.91
1,250,0.01,sigmoid,100,train_network_stocastic_ADAM,0.9966666666666667,0.912,0.908
1,250,0.01,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
1,250,0.01,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,250,0.01,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
1,250,0.01,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,250,0.01,softmax,100,train_network_SRMSprop,0.7813333333333333,0.706,0.734
1,250,0.01,softmax,100,train_network_stocastic_ADAM,0.754,0.7,0.682
1,1000,0.1,sigmoid,100,train_network_SRMSprop,0.9486666666666667,0.874,0.814
1,1000,0.1,sigmoid,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,1000,0.1,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
1,1000,0.1,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,1000,0.1,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
1,1000,0.1,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,1000,0.1,softmax,100,train_network_SRMSprop,0.43466666666666665,0.502,0.458
1,1000,0.1,softmax,100,train_network_stocastic_ADAM,0.3333333333333333,0.348,0.37
1,1000,0.01,sigmoid,100,train_network_SRMSprop,0.994,0.906,0.914
1,1000,0.01,sigmoid,100,train_network_stocastic_ADAM,0.9946666666666667,0.874,0.896
1,1000,0.01,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
1,1000,0.01,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,1000,0.01,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
1,1000,0.01,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,1000,0.01,softmax,100,train_network_SRMSprop,0.8533333333333334,0.846,0.826
1,1000,0.01,softmax,100,train_network_stocastic_ADAM,0.746,0.746,0.668
2,25,0.1,sigmoid,100,train_network_SRMSprop,0.9313333333333333,0.834,0.85
2,25,0.1,sigmoid,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,25,0.1,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
2,25,0.1,ReLU,100,train_network_stocastic_ADAM,0.09666666666666666,0.09,0.09
2,25,0.1,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
2,25,0.1,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,25,0.1,softmax,100,train_network_SRMSprop,0.856,0.82,0.806
2,25,0.1,softmax,100,train_network_stocastic_ADAM,0.7213333333333334,0.702,0.686
2,25,0.01,sigmoid,100,train_network_SRMSprop,0.9993333333333333,0.894,0.87
2,25,0.01,sigmoid,100,train_network_stocastic_ADAM,0.9953333333333333,0.87,0.876
2,25,0.01,ReLU,100,train_network_SRMSprop,0.966,0.864,0.858
2,25,0.01,ReLU,100,train_network_stocastic_ADAM,0.9513333333333334,0.814,0.792
2,25,0.01,leaky_ReLU,100,train_network_SRMSprop,0.9826666666666667,0.82,0.728
2,25,0.01,leaky_ReLU,100,train_network_stocastic_ADAM,0.9713333333333334,0.854,0.802
2,25,0.01,softmax,100,train_network_SRMSprop,0.942,0.782,0.824
2,25,0.01,softmax,100,train_network_stocastic_ADAM,0.894,0.852,0.812
2,250,0.1,sigmoid,100,train_network_SRMSprop,0.11533333333333333,0.1,0.126
2,250,0.1,sigmoid,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,250,0.1,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
2,250,0.1,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,250,0.1,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
2,250,0.1,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,250,0.1,softmax,100,train_network_SRMSprop,0.37733333333333335,0.422,0.364
2,250,0.1,softmax,100,train_network_stocastic_ADAM,0.35,0.304,0.344
2,250,0.01,sigmoid,100,train_network_SRMSprop,0.988,0.906,0.894
2,250,0.01,sigmoid,100,train_network_stocastic_ADAM,0.9873333333333333,0.898,0.892
2,250,0.01,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
2,250,0.01,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,250,0.01,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
2,250,0.01,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,250,0.01,softmax,100,train_network_SRMSprop,0.8453333333333334,0.756,0.726
2,250,0.01,softmax,100,train_network_stocastic_ADAM,0.8033333333333333,0.7,0.724
2,1000,0.1,sigmoid,100,train_network_SRMSprop,0.10133333333333333,0.106,0.098
2,1000,0.1,sigmoid,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,1000,0.1,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
2,1000,0.1,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,1000,0.1,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
2,1000,0.1,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,1000,0.1,softmax,100,train_network_SRMSprop,0.36533333333333334,0.384,0.38
2,1000,0.1,softmax,100,train_network_stocastic_ADAM,0.282,0.27,0.266
2,1000,0.01,sigmoid,100,train_network_SRMSprop,0.9726666666666667,0.904,0.866
2,1000,0.01,sigmoid,100,train_network_stocastic_ADAM,0.76,0.686,0.7
2,1000,0.01,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
2,1000,0.01,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,1000,0.01,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
2,1000,0.01,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,1000,0.01,softmax,100,train_network_SRMSprop,0.8833333333333333,0.848,0.826
2,1000,0.01,softmax,100,train_network_stocastic_ADAM,0.7393333333333333,0.676,0.686
