n_hidden,layer_size,eta,activation,n_epochs,optimizer,train_acc,val_acc
0,25,0.1,sigmoid,25,train_network_SRMSprop,1.0,0.82
0,25,0.1,sigmoid,25,train_network_stocastic_ADAM,1.0,0.84
0,25,0.1,sigmoid,50,train_network_SRMSprop,1.0,0.82
0,25,0.1,sigmoid,50,train_network_stocastic_ADAM,1.0,0.86
0,25,0.1,sigmoid,100,train_network_SRMSprop,1.0,0.8
0,25,0.1,sigmoid,100,train_network_stocastic_ADAM,1.0,0.79
0,25,0.1,sigmoid,250,train_network_SRMSprop,1.0,0.81
0,25,0.1,sigmoid,250,train_network_stocastic_ADAM,1.0,0.82
0,25,0.1,sigmoid,500,train_network_SRMSprop,1.0,0.79
0,25,0.1,sigmoid,500,train_network_stocastic_ADAM,1.0,0.85
0,25,0.1,ReLU,25,train_network_SRMSprop,1.0,0.85
0,25,0.1,ReLU,25,train_network_stocastic_ADAM,1.0,0.82
0,25,0.1,ReLU,50,train_network_SRMSprop,1.0,0.83
0,25,0.1,ReLU,50,train_network_stocastic_ADAM,1.0,0.83
0,25,0.1,ReLU,100,train_network_SRMSprop,1.0,0.83
0,25,0.1,ReLU,100,train_network_stocastic_ADAM,1.0,0.86
0,25,0.1,ReLU,250,train_network_SRMSprop,1.0,0.81
0,25,0.1,ReLU,250,train_network_stocastic_ADAM,1.0,0.82
0,25,0.1,ReLU,500,train_network_SRMSprop,1.0,0.81
0,25,0.1,ReLU,500,train_network_stocastic_ADAM,1.0,0.85
0,25,0.1,leaky_ReLU,25,train_network_SRMSprop,1.0,0.82
0,25,0.1,leaky_ReLU,25,train_network_stocastic_ADAM,0.9966666666666667,0.81
0,25,0.1,leaky_ReLU,50,train_network_SRMSprop,1.0,0.83
0,25,0.1,leaky_ReLU,50,train_network_stocastic_ADAM,1.0,0.84
0,25,0.1,leaky_ReLU,100,train_network_SRMSprop,1.0,0.84
0,25,0.1,leaky_ReLU,100,train_network_stocastic_ADAM,1.0,0.81
0,25,0.1,leaky_ReLU,250,train_network_SRMSprop,1.0,0.81
0,25,0.1,leaky_ReLU,250,train_network_stocastic_ADAM,1.0,0.83
0,25,0.1,leaky_ReLU,500,train_network_SRMSprop,1.0,0.79
0,25,0.1,leaky_ReLU,500,train_network_stocastic_ADAM,1.0,0.82
0,25,0.01,sigmoid,25,train_network_SRMSprop,0.9333333333333333,0.78
0,25,0.01,sigmoid,25,train_network_stocastic_ADAM,0.8866666666666667,0.7
0,25,0.01,sigmoid,50,train_network_SRMSprop,0.96,0.8
0,25,0.01,sigmoid,50,train_network_stocastic_ADAM,0.9433333333333334,0.72
0,25,0.01,sigmoid,100,train_network_SRMSprop,0.9966666666666667,0.85
0,25,0.01,sigmoid,100,train_network_stocastic_ADAM,0.9833333333333333,0.81
0,25,0.01,sigmoid,250,train_network_SRMSprop,1.0,0.85
0,25,0.01,sigmoid,250,train_network_stocastic_ADAM,1.0,0.83
0,25,0.01,sigmoid,500,train_network_SRMSprop,1.0,0.84
0,25,0.01,sigmoid,500,train_network_stocastic_ADAM,1.0,0.85
0,25,0.01,ReLU,25,train_network_SRMSprop,0.92,0.77
0,25,0.01,ReLU,25,train_network_stocastic_ADAM,0.89,0.81
0,25,0.01,ReLU,50,train_network_SRMSprop,0.9633333333333334,0.84
0,25,0.01,ReLU,50,train_network_stocastic_ADAM,0.9533333333333334,0.78
0,25,0.01,ReLU,100,train_network_SRMSprop,0.9933333333333333,0.84
0,25,0.01,ReLU,100,train_network_stocastic_ADAM,0.98,0.8
0,25,0.01,ReLU,250,train_network_SRMSprop,1.0,0.85
0,25,0.01,ReLU,250,train_network_stocastic_ADAM,1.0,0.83
0,25,0.01,ReLU,500,train_network_SRMSprop,1.0,0.81
0,25,0.01,ReLU,500,train_network_stocastic_ADAM,1.0,0.85
0,25,0.01,leaky_ReLU,25,train_network_SRMSprop,0.92,0.77
0,25,0.01,leaky_ReLU,25,train_network_stocastic_ADAM,0.9,0.79
0,25,0.01,leaky_ReLU,50,train_network_SRMSprop,0.9666666666666667,0.81
0,25,0.01,leaky_ReLU,50,train_network_stocastic_ADAM,0.95,0.8
0,25,0.01,leaky_ReLU,100,train_network_SRMSprop,0.9966666666666667,0.83
0,25,0.01,leaky_ReLU,100,train_network_stocastic_ADAM,0.9833333333333333,0.74
0,25,0.01,leaky_ReLU,250,train_network_SRMSprop,1.0,0.83
0,25,0.01,leaky_ReLU,250,train_network_stocastic_ADAM,1.0,0.84
0,25,0.01,leaky_ReLU,500,train_network_SRMSprop,1.0,0.85
0,25,0.01,leaky_ReLU,500,train_network_stocastic_ADAM,1.0,0.85
0,50,0.1,sigmoid,25,train_network_SRMSprop,1.0,0.87
0,50,0.1,sigmoid,25,train_network_stocastic_ADAM,1.0,0.79
0,50,0.1,sigmoid,50,train_network_SRMSprop,1.0,0.84
0,50,0.1,sigmoid,50,train_network_stocastic_ADAM,1.0,0.85
0,50,0.1,sigmoid,100,train_network_SRMSprop,1.0,0.82
0,50,0.1,sigmoid,100,train_network_stocastic_ADAM,1.0,0.79
0,50,0.1,sigmoid,250,train_network_SRMSprop,1.0,0.8
0,50,0.1,sigmoid,250,train_network_stocastic_ADAM,1.0,0.83
0,50,0.1,sigmoid,500,train_network_SRMSprop,1.0,0.81
0,50,0.1,sigmoid,500,train_network_stocastic_ADAM,1.0,0.82
0,50,0.1,ReLU,25,train_network_SRMSprop,1.0,0.84
0,50,0.1,ReLU,25,train_network_stocastic_ADAM,1.0,0.84
0,50,0.1,ReLU,50,train_network_SRMSprop,1.0,0.85
0,50,0.1,ReLU,50,train_network_stocastic_ADAM,1.0,0.82
0,50,0.1,ReLU,100,train_network_SRMSprop,1.0,0.84
0,50,0.1,ReLU,100,train_network_stocastic_ADAM,1.0,0.81
0,50,0.1,ReLU,250,train_network_SRMSprop,1.0,0.82
0,50,0.1,ReLU,250,train_network_stocastic_ADAM,1.0,0.83
0,50,0.1,ReLU,500,train_network_SRMSprop,1.0,0.82
0,50,0.1,ReLU,500,train_network_stocastic_ADAM,1.0,0.81
0,50,0.1,leaky_ReLU,25,train_network_SRMSprop,1.0,0.8
0,50,0.1,leaky_ReLU,25,train_network_stocastic_ADAM,1.0,0.81
0,50,0.1,leaky_ReLU,50,train_network_SRMSprop,1.0,0.81
0,50,0.1,leaky_ReLU,50,train_network_stocastic_ADAM,1.0,0.82
0,50,0.1,leaky_ReLU,100,train_network_SRMSprop,1.0,0.85
0,50,0.1,leaky_ReLU,100,train_network_stocastic_ADAM,1.0,0.83
0,50,0.1,leaky_ReLU,250,train_network_SRMSprop,1.0,0.81
0,50,0.1,leaky_ReLU,250,train_network_stocastic_ADAM,1.0,0.84
0,50,0.1,leaky_ReLU,500,train_network_SRMSprop,1.0,0.79
0,50,0.1,leaky_ReLU,500,train_network_stocastic_ADAM,1.0,0.8
0,50,0.01,sigmoid,25,train_network_SRMSprop,0.9266666666666666,0.84
0,50,0.01,sigmoid,25,train_network_stocastic_ADAM,0.8933333333333333,0.67
0,50,0.01,sigmoid,50,train_network_SRMSprop,0.97,0.83
0,50,0.01,sigmoid,50,train_network_stocastic_ADAM,0.94,0.79
0,50,0.01,sigmoid,100,train_network_SRMSprop,0.9966666666666667,0.84
0,50,0.01,sigmoid,100,train_network_stocastic_ADAM,0.99,0.79
0,50,0.01,sigmoid,250,train_network_SRMSprop,1.0,0.84
0,50,0.01,sigmoid,250,train_network_stocastic_ADAM,1.0,0.85
0,50,0.01,sigmoid,500,train_network_SRMSprop,1.0,0.84
0,50,0.01,sigmoid,500,train_network_stocastic_ADAM,1.0,0.81
0,50,0.01,ReLU,25,train_network_SRMSprop,0.9033333333333333,0.71
0,50,0.01,ReLU,25,train_network_stocastic_ADAM,0.8966666666666666,0.74
0,50,0.01,ReLU,50,train_network_SRMSprop,0.9666666666666667,0.84
0,50,0.01,ReLU,50,train_network_stocastic_ADAM,0.95,0.74
0,50,0.01,ReLU,100,train_network_SRMSprop,0.9966666666666667,0.84
0,50,0.01,ReLU,100,train_network_stocastic_ADAM,0.9833333333333333,0.76
0,50,0.01,ReLU,250,train_network_SRMSprop,1.0,0.86
0,50,0.01,ReLU,250,train_network_stocastic_ADAM,1.0,0.84
0,50,0.01,ReLU,500,train_network_SRMSprop,1.0,0.82
0,50,0.01,ReLU,500,train_network_stocastic_ADAM,1.0,0.85
0,50,0.01,leaky_ReLU,25,train_network_SRMSprop,0.9166666666666666,0.79
0,50,0.01,leaky_ReLU,25,train_network_stocastic_ADAM,0.91,0.73
0,50,0.01,leaky_ReLU,50,train_network_SRMSprop,0.9666666666666667,0.83
0,50,0.01,leaky_ReLU,50,train_network_stocastic_ADAM,0.9533333333333334,0.77
0,50,0.01,leaky_ReLU,100,train_network_SRMSprop,0.9966666666666667,0.86
0,50,0.01,leaky_ReLU,100,train_network_stocastic_ADAM,0.9833333333333333,0.78
0,50,0.01,leaky_ReLU,250,train_network_SRMSprop,1.0,0.86
0,50,0.01,leaky_ReLU,250,train_network_stocastic_ADAM,1.0,0.84
0,50,0.01,leaky_ReLU,500,train_network_SRMSprop,1.0,0.84
